timestamp,Apple
2015-02-26,3336
2015-02-27,19498
2015-02-28,11909
2015-03-01,7890
2015-03-02,12426
2015-03-03,37832
2015-03-04,25585
2015-03-05,13124
2015-03-06,21578
2015-03-07,11726
2015-03-08,8764
2015-03-09,62570
2015-03-10,45527
2015-03-11,20013
2015-03-12,13160
2015-03-13,12295
2015-03-14,24757
2015-03-15,18608
2015-03-16,60577
2015-03-17,25778
2015-03-18,13583
2015-03-19,12111
2015-03-20,12037
2015-03-21,9520
2015-03-22,7633
2015-03-23,15583
2015-03-24,18569
2015-03-25,11888
2015-03-26,14535
2015-03-27,24731
2015-03-28,11552
2015-03-29,8834
2015-03-30,35752
2015-03-31,122325
2015-04-01,31135
2015-04-02,27785
2015-04-03,21083
2015-04-04,18894
2015-04-05,16494
2015-04-06,22562
2015-04-07,44380
2015-04-08,20609
2015-04-09,15900
2015-04-10,14519
2015-04-11,12979
2015-04-12,9758
2015-04-13,19350
2015-04-14,116597
2015-04-15,27005
2015-04-16,21981
2015-04-17,19397
2015-04-18,8280
2015-04-19,7840
2015-04-20,41043
2015-04-21,48696
2015-04-22,16680
2015-04-23,1880
